435179.998400,4465031.125987
435192.357686,4465080.284134
435192.357686,4465080.284134
435116.488880,4465100.986223
435116.488880,4465100.986223
435110.031115,4465102.773654
435035.251900,4465122.701223
435032.521325,4465123.257647
435029.113120,4465124.041942
435029.113120,4465124.041942
435032.988247,4465141.902715
435032.988247,4465141.902715
435034.539902,4465152.379428
435034.539902,4465152.379428
435035.234437,4465157.057904
435035.451055,4465158.532419
435035.944945,4465162.602093
435037.290277,4465173.779930
435037.290277,4465173.779930
435048.279287,4465180.267682
435052.209536,4465186.816420
435052.209536,4465186.816420
435038.071764,4465185.573176
435033.812309,4465183.201137
435033.812309,4465183.201137
435026.855422,4465179.320518
435019.537531,4465168.072189
435019.537531,4465168.072189
435013.914036,4465164.157857
435013.914036,4465164.157857
435012.785881,4465163.368361
435008.393042,4465160.309248
434913.290236,4465093.351279
434813.068157,4464999.530864
434790.524134,4464977.236403
434782.463162,4464967.548834
434775.983352,4464956.027049
434768.066591,4464921.839087
434764.409405,4464897.848986
434763.324032,4464888.289634
434762.788071,4464880.368413
434763.064937,4464870.175605
434763.064937,4464870.175605
434757.622748,4464866.637309
434754.248046,4464862.481641
434751.890675,4464858.084034
434751.374734,4464852.471577
434752.105484,4464846.615188
434754.340062,4464841.755912
434758.867510,4464837.775896
434758.867510,4464837.775896
434763.874881,4464835.257006
434770.486551,4464834.544710
434777.972529,4464836.688807
434777.972529,4464836.688807
434806.961380,4464803.701587
434778.001602,4464777.355539
